snapshot_hour_utc,game_id,position,user_login,viewer_count,language,started_at
2026-08-28T01,65876,1,jltomy,6145,fr,2026-08-27T17:59:43Z
2026-08-28T01,65876,2,saoriv,165,en,2026-08-27T16:35:50Z
2026-08-28T01,65876,3,elotrix_247,71,de,2026-08-27T20:32:03Z
2026-08-28T01,1669431183,1,pyka,982,en,2026-08-27T23:44:01Z
2026-08-28T01,1669431183,2,danceteriarewind,977,en,2026-08-27T23:30:10Z
2026-08-28T01,1669431183,3,lanadj,355,en,2026-08-27T21:53:21Z
2026-08-28T01,1081998272,1,arielle,2380,en,2026-08-27T21:15:43Z
2026-08-28T01,1081998272,2,peegtv,684,en,2026-08-27T17:40:46Z
2026-08-28T01,1081998272,3,jojothamofo,251,en,2026-08-27T17:59:13Z
2026-08-28T01,386821,1,divios,1132,en,2026-08-27T15:28:56Z
2026-08-28T01,386821,2,trollzinha,538,pt,2026-08-27T17:00:09Z
2026-08-28T01,386821,3,goldsteinburg,341,en,2026-08-27T21:56:02Z
2026-08-28T01,459931,1,purpp,903,en,2026-08-28T00:52:02Z
2026-08-28T01,459931,2,mr_mammal,823,en,2026-08-27T19:06:24Z
2026-08-28T01,459931,3,sardaco,808,en,2026-08-27T17:00:46Z
2026-08-28T01,66170,1,ladytheladdy,3867,en,2026-08-27T19:00:21Z
2026-08-28T01,66170,2,professorlih,306,pt,2026-08-27T22:00:52Z
2026-08-28T01,66170,3,senatordongo,165,en,2026-08-27T22:41:59Z
2026-08-28T01,26936,1,windowlightfm,336,en,2026-08-27T16:09:54Z
2026-08-28T01,26936,2,julie,241,en,2026-08-28T00:04:30Z
2026-08-28T01,26936,3,lofigirl,219,en,2026-08-27T07:20:05Z
2026-08-28T01,499003,1,itskxtlyn,1877,en,2026-08-28T00:48:52Z
2026-08-28T01,499003,2,murdercrumpet,1046,en,2026-08-27T20:58:35Z
2026-08-28T01,499003,3,moonbuvr,683,en,2026-08-28T00:12:12Z
2026-08-28T01,464339927,1,zlaner,1434,en,2026-08-27T18:49:57Z
2026-08-28T01,464339927,2,lyesval,387,en,2026-08-27T21:44:51Z
2026-08-28T01,464339927,3,samejoey,305,en,2026-08-27T05:45:38Z
2026-08-28T01,263490,1,oilrats,1899,en,2026-08-27T13:47:38Z
2026-08-28T01,263490,2,yufuna,1027,ja,2026-08-27T22:20:20Z
2026-08-28T01,263490,3,iriskpvp,208,en,2026-08-27T20:58:36Z
2026-08-28T01,23020,1,clout,683,en,2026-08-27T03:55:31Z
2026-08-28T01,23020,2,bundun,134,en,2026-08-28T00:00:58Z
2026-08-28T01,23020,3,angeltankedd,117,en,2026-08-27T23:16:55Z
2026-08-28T01,670138298,1,problemwright,766,en,2026-08-27T22:03:35Z
2026-08-28T01,670138298,2,itsmoshimadden,755,en,2026-08-27T15:32:13Z
2026-08-28T01,670138298,3,mills,355,en,2026-08-27T21:43:16Z
2026-08-28T01,1478650472,1,zoomaa,4799,en,2026-08-27T19:06:20Z
