snapshot_hour_utc,game_id,name,is_game,rank,viewers_top100,channels_top100,share_top1,v_short,v_day,c_short,flags,score,components,steam_appid
2026-08-28T05,6521,Grand Theft Auto: San Andreas,True,99,1440,28,0.5181,,,,ENTRY,1.5,entry_short=+1.50,12120
2026-08-28T05,1432155743,Hariti,True,72,2483,2,0.9964,,,,ENTRY,1.5,entry_short=+1.50,4018740
2026-08-28T05,965771331,Deltarune,True,84,1838,43,0.8825,,,,ENTRY,1.5,entry_short=+1.50,1671210
2026-08-28T05,2066107586,Escape the Backrooms,True,83,2105,100,0.4485,,,,ENTRY,1.5,entry_short=+1.50;steam_growth=+0.00,1943950
2026-08-28T05,509577,Dungeons & Dragons,False,52,3585,45,0.9135,,,,ENTRY,1.5,entry_short=+1.50,
2026-08-28T05,1115711128,PlateUp!,True,19,17387,21,0.9608,,,,ENTRY,1.5,entry_short=+1.50,1599600
2026-08-28T05,415998825,Guildrun,True,99,1455,6,0.7753,,,,ENTRY,1.5,entry_short=+1.50,3669200
2026-08-28T05,497057,Destiny 2,True,95,1460,99,0.1466,,,,ENTRY,1.5,entry_short=+1.50;steam_growth=+0.00,1085660
2026-08-28T05,7022,The Forest,True,92,1594,23,0.9398,,,,ENTRY,1.5,entry_short=+1.50,242760
2026-08-28T05,538054672,TEKKEN 8,True,88,1623,83,0.4763,,,,ENTRY,1.5,entry_short=+1.50,1778820
2026-08-28T05,1687175620,Shadow Dungeon,True,98,1446,3,0.9972,,,,ENTRY,1.5,entry_short=+1.50,4423580
2026-08-28T05,460951,Geometry Dash,True,85,1802,67,0.7708,,,,ENTRY,1.5,entry_short=+1.50;steam_growth=+0.00,322170
2026-08-28T05,27546,World of Tanks,True,58,3347,76,0.2339,0.10878568901791945,,0.0402738991379399,,1.318,channel_growth_short=+0.06;rank_climb=+1.04;viewer_growth_short=+0.22,1407200
2026-08-28T05,1441208453,Once Human,True,39,4385,100,0.2338,0.14767228017325426,,0.0,,1.215,channel_growth_short=+0.00;rank_climb=+0.92;steam_growth=+0.00;viewer_growth_short=+0.30,2139460
2026-08-28T05,602040818,NBA 2K27,True,3,41858,96,0.3102,0.49705651948699203,,-0.03077165866675366,,1.188,channel_growth_short=-0.05;rank_climb=+0.24;viewer_growth_short=+0.99,4356430
2026-08-28T05,1036710512,Palworld,True,38,4509,100,0.2406,0.11355048856842045,,0.02020270731751947,,1.057,channel_growth_short=+0.03;rank_climb=+0.80;steam_growth=+0.00;viewer_growth_short=+0.23,1623730
2026-08-28T05,1832841853,Mortal Shell II,True,43,4531,97,0.3363,0.08928116072781915,,0.0,,1.019,channel_growth_short=+0.00;rank_climb=+0.84;steam_growth=+0.00;viewer_growth_short=+0.18,2584270
2026-08-28T05,272263131,"Animals, Aquariums, and Zoos",False,51,3541,100,0.2344,-0.04796950503995584,,0.0,,0.864,channel_growth_short=+0.00;rank_climb=+0.96;viewer_growth_short=-0.10,
2026-08-28T05,509660,Art,False,32,5489,100,0.072,0.010991134644438228,,0.083381608939051,BREADTH,0.807,breadth_bonus=+0.50;channel_growth_short=+0.13;rank_climb=+0.16;viewer_growth_short=+0.02,
2026-08-28T05,490655,Pokémon GO,True,62,2876,37,0.2403,0.009783446309071029,,-0.150282203049338,,0.794,channel_growth_short=-0.23;rank_climb=+1.00;viewer_growth_short=+0.02,
2026-08-28T05,509659,ASMR,False,23,13560,100,0.1521,0.18693394744394046,,0.05129329438755048,,0.691,channel_growth_short=+0.08;rank_climb=+0.24;viewer_growth_short=+0.37,
2026-08-28T05,1282866981,Delta Force,True,78,2071,100,0.2352,-0.0640555460014018,,0.0,,0.632,channel_growth_short=+0.00;rank_climb=+0.76;steam_growth=+0.00;viewer_growth_short=-0.13,2507950
2026-08-28T05,2132205352,Deadlock,True,28,8929,100,0.2136,0.08517025226487192,,0.0,,0.53,channel_growth_short=+0.00;rank_climb=+0.36;steam_growth=+0.00;viewer_growth_short=+0.17,1422450
2026-08-28T05,23020,ROBLOX,True,40,3381,87,0.3878,0.06443993583655964,,-0.13926206733350766,,0.44,channel_growth_short=-0.21;rank_climb=+0.52;viewer_growth_short=+0.13,
2026-08-28T05,674491029,Star Wars Zero Company,True,15,18239,100,0.3164,0.1009899670028191,,0.02020270731751947,,0.432,channel_growth_short=+0.03;rank_climb=+0.20;steam_growth=+0.00;viewer_growth_short=+0.20,2075800
2026-08-28T05,516575,VALORANT,True,7,23952,97,0.2654,0.1068367773634781,,0.0,,0.374,channel_growth_short=+0.00;rank_climb=+0.16;viewer_growth_short=+0.21,
2026-08-28T05,500188,Hunt: Showdown 1896,True,71,2476,100,0.1636,-0.10386505229078719,,0.010050335853501506,,0.287,channel_growth_short=+0.02;rank_climb=+0.48;steam_growth=+0.00;viewer_growth_short=-0.21,594650
2026-08-28T05,386821,Black Desert,True,36,5999,99,0.0825,-0.06922621648859366,,-0.01005033585350145,,0.246,channel_growth_short=-0.02;rank_climb=+0.40;viewer_growth_short=-0.14,582660
2026-08-28T05,512710,Call of Duty: Warzone,True,26,8363,98,0.1505,0.0726465546865824,,0.05236798551731594,,0.224,channel_growth_short=+0.08;viewer_growth_short=+0.15,
2026-08-28T05,1264310518,Marvel Rivals,True,13,13053,99,0.1138,-0.012637196190609878,,-0.01005033585350145,,0.12,channel_growth_short=-0.02;rank_climb=+0.16;steam_growth=+0.00;viewer_growth_short=-0.03,2767030
2026-08-28T05,491931,Escape from Tarkov,True,4,47401,100,0.7273,-0.030254338501504063,,0.06187540371808745,,0.072,channel_growth_short=+0.09;rank_climb=+0.04;steam_growth=+0.00;viewer_growth_short=-0.06,3932890
2026-08-28T05,515025,Overwatch,True,25,7535,97,0.1295,0.009199451586066791,,-0.030459207484708574,,-0.027,channel_growth_short=-0.05;steam_growth=+0.00;viewer_growth_short=+0.02,2357570
2026-08-28T05,491487,Dead by Daylight,True,9,15461,97,0.2916,-0.08650459745483292,,-0.01025650016718911,,-0.028,channel_growth_short=-0.02;rank_climb=+0.16;steam_growth=+0.00;viewer_growth_short=-0.17,381210
2026-08-28T05,27284,Retro,False,31,7619,100,0.3014,-0.09746752365261753,,0.0,,-0.075,channel_growth_short=+0.00;rank_climb=+0.12;viewer_growth_short=-0.19,
2026-08-28T05,499003,VRChat,True,42,4954,100,0.3038,-0.22693128199817852,,0.010050335853501506,,-0.119,channel_growth_short=+0.02;rank_climb=+0.32;steam_growth=+0.00;viewer_growth_short=-0.45,438100
2026-08-28T05,21779,League of Legends,True,6,32283,94,0.089,-0.06334135467564288,,0.0,,-0.127,channel_growth_short=+0.00;viewer_growth_short=-0.13,
2026-08-28T05,509672,IRL,False,20,15180,99,0.1352,-0.14524610350672484,,0.0,,-0.25,channel_growth_short=+0.00;rank_climb=+0.04;viewer_growth_short=-0.29,
2026-08-28T05,499973,Always On,False,21,12074,99,0.0866,-0.1854363518202097,,-0.01005033585350145,,-0.266,channel_growth_short=-0.02;rank_climb=+0.12;viewer_growth_short=-0.37,
2026-08-28T05,138585,Hearthstone,True,34,6562,65,0.2501,-0.08833124113371944,,-0.25642952894767645,,-0.281,channel_growth_short=-0.38;rank_climb=+0.28;viewer_growth_short=-0.18,
2026-08-28T05,18122,World of Warcraft,True,5,42757,100,0.2477,-0.10264616788757053,,0.0,,-0.325,channel_growth_short=+0.00;rank_climb=-0.12;viewer_growth_short=-0.21,
2026-08-28T05,26936,Music,False,45,3711,99,0.1126,-0.24936636598621054,,0.0,,-0.339,channel_growth_short=+0.00;rank_climb=+0.16;viewer_growth_short=-0.50,
2026-08-28T05,464339927,ARC Raiders,True,46,3467,100,0.1027,-0.3091545242110937,,0.010050335853501506,,-0.403,channel_growth_short=+0.02;rank_climb=+0.20;steam_growth=+0.00;viewer_growth_short=-0.62,1808500
2026-08-28T05,33214,Fortnite,True,8,16931,98,0.1941,-0.2977458451059184,,0.04167269640056808,,-0.533,channel_growth_short=+0.06;viewer_growth_short=-0.60,
2026-08-28T05,459931,Old School RuneScape,True,44,4717,96,0.261,-0.30340475731808164,,-0.040821994520255166,,-0.548,channel_growth_short=-0.06;rank_climb=+0.12;viewer_growth_short=-0.61,1343370
